Order Number,Name,Signed Date,Notes
Executive Order    8371 ," Amending Section 3 of Executive Order No. 8044 of January 31, 1939, and Appointing Attorney General Robert H. Jackson a Member of the Committee To Investigate and Report Methods for Selecting and Promoting Certain Personnel in Civil Service","Signed: March 9, 1940","Federal Register page and date: 5 FR 1029, March 13, 1940 
Amends: EO 8044, January 31, 1939 
"
Executive Order    8372,"  Modification of Executive Order No. 6957 of February 4, 1935, Withdrawing Public Lands; Alaska","Signed: March 9, 1940","Federal Register page and date: 5 FR 1029, March 13, 1940 
 Amends: 
    
    EO 6957, February 4, 1935 
"
Executive Order    8373,  Designating the Honorable Angel R. de Jesus as Acting Judge of the District Court of the United States for Puerto Rico ,"Signed: March 9, 1940","Federal Register page and date: 5 FR 1029, March 13, 1940 
"
Executive Order    8374,  Exemption of Charles F. Markey From Compulsory Retirement for Age ,"Signed: March 13, 1940 ","Note: This Executive order was not received for publication in the Federal Register. 
"
Executive Order    8375,  Exemption of James F. Rogers From Compulsory Retirement for Age ,"Signed: March 13, 1940 ","Note: This Executive order was not received for publication in the Federal Register. 
"
Executive Order    8376,  Placing Certain Lands Under the Control of the Secretary of the Interior; New Mexico ,"Signed: March 13, 1940 ","Federal Register page and date: 5 FR 1077, March 16, 1940 
 Revokes: 
    
    EO 2489, November 21, 1916; 
    
    EO 2575, April 4, 1917 
"
Executive Order    8377,"  Amending Executive Order No. 8356 Entitled ""Rules of Precedence Relating to Foreign Service Officers and their Officers of the United States Government""","Signed: March 18, 1940 ","Federal Register page and date: 5 FR 1113, March 21, 1940 
Amends: EO 8356, March 2, 1940 
Superseded by: EO 9998, September 14, 1948
"
Executive Order    8378 , Establishing an Airspace Reservation Over a Portion of the District of Columbia,"Signed: March 18, 1940 ","Federal Register page and date: 5 FR 1114, March 21, 1940 
Supersedes: EO 7910, June 16, 1938 
Superseded by: EO 8950, November 26, 1941 
"
Executive Order    8379,  Amending the Foreign Service Regulations ,"Signed: March 19, 1940 ","Federal Register page and date: 5 FR 1114, March 21, 1940 
 Revokes: 
    
    EO 4463, June 26, 1926; 
    
    EO 5290, March 5, 1930; 
    
    EO 6017, February 7, 1933 
Revoked by: EO 9521, February 13, 
      1945 
"
Executive Order    8380 , Changing the Name of the Cold Springs Reservation to Cold Springs National Wildlife Refuge and Adding Certain Lands Thereto; Oregon,"Signed: March 19, 1940 ","Federal Register page and date: 5 FR 1115, March 21, 1940 
 Amends: 
    
    EO 1032, February 25, 1909; 
    
    EO 1439, November 25, 1931; 
    
    EO 6910, November 26, 1934 
See: Public Land Order 1083, March 4, 1955 (20 FR 1439) 
"
Executive Order    8381 , Defining Certain Vital Military and Naval Installations and Equipment,"Signed: March 22, 1940","Federal Register page and date: 5 FR 1147, March 26, 1940 
Superseded by: EO 10104, February 1, 1950
"
Executive Order    8382,"  Amendment of Executive Order No. 8234 of September 5, 1939, Prescribing Regulations Governing the Passage and Control of Vessels Through the Panama Canal in Any War in Which the United States is Neutral ","Signed: March 25, 1940 ","Federal Register page and date: 5 FR 1185, March 27, 1940 
"
Executive Order    8383 ," Authorizing the Civil Service Commission To Confer a Classified Civil Service Status Upon Certain Employees of the Office of Indian Affairs In Accordance With Section 3 of Executive Order No. 7916 of June 24, 1938","Signed: March 28, 1940 ","Federal Register page and date: 5 FR 1233, March 30, 1940 
"
Executive Order    8384,  Prescribing Regulations Relating to Annual Leave of Government Employees,"Signed: March 29, 1940 ","Federal Register page and date: 5 FR 1253, April 2, 1940 
Revokes: EO 7845, March 21, 1938; EO 
      7879, May 9, 1938; EO 8226, August 24, 
      1939
Superseded by: EO 9414, January 13, 1944 
"
Executive Order    8385 , Prescribing Regulations Relating to Sick Leave of Government Employees,"Signed: March 29, 1940 ","Federal Register page and date: 5 FR 1256, April 2, 1940 
Revokes: EO 7846, March 21, 1938; EO 
      7880, May 9, 1938; EO 8227, August 24, 
      1939 
Superseded by: EO 9414, January 13, 1944 
"
Executive Order    8386 , Exemption of John W. Kindle From Compulsory Retirement for Age,"Signed: April 4, 1940 ","Note: This Executive order was not received for publication in the Federal Register. 
"
Executive Order    8387 ," Partial Revocation of Executive Order of December 5, 1913 ","Signed: April 4, 1940 ","Federal Register page and date: 5 FR 1353, April 6, 1940 
Revokes: Executive order of December 5, 1913 (unnumbered series) (in part) 
"
Executive Order    8388,  Restoring Certain Land to the Use of the Territory of Hawaii and Setting Aside Certain Land in Lieu Thereof for Military Purposes of the United States,"Signed: April 5, 1940 ","Federal Register page and date: 5 FR 1361, April 9, 1940 
See: EO 10115, March 8, 1950 
"
Executive Order    8389,"  Amendment of Executive Order No. 6560, Dated January 15, 1934, Regulating Transactions in Foreign Exchange, Transfers of Credit, and the Export of Coin and Currency","Signed: April 10, 1940 ","Federal Register page and date: 5 FR 1400, April 12, 1940 
 Amends: EO 6560, January 15, 1934 
Amended by: EO 8405, May 10, 1940; EO 
      8446, June 17, 1940; EO 8484, July 15, 
      1940; EO 8493, July 25, 1940; EO 
      8565, October 10, 1940; EO 8701, March 
      4, 1941; EO 8711, March 13, 1941; EO 
      8721, March 24, 1941; EO 8746, April 28, 
      1941; EO 8785, June 14, 1941; EO 
      8832, July 26, 1941; EO 8963, December 
      9, 1941; EO 8998, December 26, 1941 
Superseded by: EO 9760, July 23, 1946 (in part)
See: EO 8389, April 10, 1940; Proclamation 
      2497, July 17, 1941; EO 9095, March 11, 1942; 
      EO 9193, July 6, 1942; EO 
      9747, July 3, 1948; EO 9989, August 20, 
      1948; EO 10348, April 26, 1952; EO 
      11281, May 13, 1966; Public Law 94-412 (90 Stat. 1255; 50 U.S.C. 1601); 
      Department of Treasury regulations of December 10, 1982 (47 FR 56351) 
"
Executive Order    8390,"  Amending the Executive Order of January 17, 1873, To Permit Employees of the Federal Government To Hold Certain Positions in the Schools and Universities of Any State, Territory, or Municipality","Signed: April 11, 1940","Federal Register page and date: 5 FR 1411, April 13, 1940 
 Amends: 
    
    EO 9, January 17, 1873 
Revoked by: EO 11408, April 25, 1968 (in part)
"
Executive Order    8391,  Exemption of Clifton E. Johnson From Compulsory Retirement for Age ,"Signed: April 12, 1940 ","Note: This Executive order was not received for publication in the Federal Register.
"
Executive Order    8392,  Exemption of Zeke Johnson From Compulsory Retirement for Age,"Signed: April 12, 1940","Amends: EO 8094, April 19, 1939
Note: This Executive order was not received for publication in the Federal Register.
"
Executive Order    8393 , Restoring Certain Lands Comprising Part of the Makua Military Reservation to the Use of the Territory of Hawaii,"Signed: April 12, 1940 ","Federal Register page and date: 5 FR 1432, April 16, 1940 
"
Executive Order    8394,"  Partial Revocation of Executive Order of June 8, 1866, Withdrawing Public Land; Oregon ","Signed: April 13, 1940","Federal Register page and date: 5 FR 1443, April 17, 1940 
Revokes: Executive order of June 8, 1866 (unnumbered series) (in part)
"
Executive Order    8395,  Authorizing appointment of Floyd E. Julian as a Rural Letter Carrier Without Regard to Civil Service Rules ,"Signed: April 17, 1940 ","Note: This Executive order was not received for publication in the Federal Register.
"
Executive Order    8396 , Amending the Foreign Service Regulations of the United States ,"Signed: April 18, 1940 ","Federal Register page and date: 5 FR 1461, April 20, 1940 
 Revokes: 
    
    EO 171, April 25, 1902; 
    
    EO 2406, June 23, 1916; 
    
    EO 4879, May 8, 1928; 
    
    EO 4892, May 26, 1928; 
    
    EO 5642, June 8, 1931; 
    
    EO 7497, November 17, 1936; EO 7577, March 19, 
    1937; EO 8078, April 4, 1939; EO 
    8177, June 21, 1939; EO 8185, June 29, 1939 
    (in part) 
Amended by: EO 9450, June 20, 1944; EO 
      9537, April 11, 1945 
Superseded by: Foreign Service Reg. S-4, October 23, 1945 (10 FR 13259)(in part); Foreign Service Reg. S-16, February 19, 1946 (11 FR 1849)(in part) 
Revoked by: EO 9521, February 13, 
      1945
"
Executive Order    8397 , Withdrawal of Public Lands in Aid of Legislation; Idaho ,"Signed: April 23, 1940 ","Federal Register page and date: 5 FR 1557, April 26, 1940 
 Amends: 
    
    EO 6910, November 26, 1934 
Revoked by: Public Land Order 1331, August 24, 1956 (21 FR 6566) (in part); Public Land Order 2467, August 18, 1961(26 FR 7877) (in part) 
"
Executive Order    8398,  Prescribing Regulations Governing the Enforcement of the Neutrality of the United States ,"Signed: April 25, 1940 ","Federal Register page and date: 5 FR 1570, April 27, 1940 
"
Executive Order    8399,"  Amending the Executive Order of January 17, 1873, To Permit Officers and Employees of the Social Security Board, Federal Security Agency, To Hold State, Territorial and Municipal Offices, Etc.","Signed: April 29, 1940","Federal Register page and date: 5 FR 1607, May 1, 1940 
Amends: EO 9, January 17, 1873 
Revoked by: EO 11408, April 25, 1968 (in part)
"
Executive Order    8400,  Amending the Foreign Service Regulations of the United States,"Signed: April 29, 1940 ","Federal Register page and date: 5 FR 1627, May 3, 1940 
Amended by: EO 9507, December 20, 1944 
Superseded by: Foreign Service Reg. S-12, October 5, 1945 (10 FR 12626)(in part) 
Revoked by: EO 9521, February 13, 
      1945 
"
Executive Order    8401 , Exemption of Percy Nicholls From Compulsory Retirement for Age ,"Signed: May 7, 1940","See: EO 8778, June 11, 1941 
Note: This Executive order was not received for publication in the Federal Register. 
"
Executive Order    8402 , Exemption of Nelson S. Thompson From Compulsory Retirement for Age,"Signed: May 7, 1940 ","Revoked by: EO 8896, September 12, 1941 
Note: This Executive order was not received for publication in the Federal Register.
"
Executive Order    8403, Establishing Los Angeles-Long Beach Harbor Naval Defensive Sea Area; California,"Signed: May 7, 1940 ","Federal Register page and date: 5 FR 1661, May 9, 1940 
Superseded by: EO 8953, November 27, 1941 
"
Executive Order    8404 , Authorizing the Civil Service Commission To Reopen Under Certain Conditions Examinations From Which Appointments May Be Made to Positions in the Social Security Board,"Signed: May 7, 1940 ","Federal Register page and date: 5 FR 1661, May 9, 1940 
"
Executive Order    8405 ," Amendment of Executive Order No. 8389 of April 10, 1940, Amending Executive Order No. 6560, Dated January 15, 1934","Signed: May 10, 1940 ","Federal Register page and date: 5 FR 1677, May 11, 1940 
Amends: EO 8389, April 10, 1940; EO 
      6560, January 15, 1934 
See: Public Law 94-412 (90 Stat. 1255; 50 U.S.C. 1601) 
"
Executive Order    8406 , Prescribing Regulations Governing the Enforcement of the Neutrality of the United States ,"Signed: May 11, 1940 ","Federal Register page and date: 5 FR 1691, May 14, 1940 
"
Executive Order    8407 , Withdrawal of Public Land in Aid of Flood Control; Louisiana ,"Signed: May 10, 1940","Federal Register page and date: 5 FR 1690, May 14, 1940 
 Revokes: 
    
    EO 6964, February 5, 1935 (in part) 
"
Executive Order    8408,  Exemption of Huntt P. Larcombe From Compulsory Retirement for Age ,"Signed: May 15, 1940","Note: This Executive order was not received for publication in the Federal Register. 
"
Executive Order    8409,  Exemption of Jacob C. Lesher From Compulsory Retirement for Age ,"Signed: May 15, 1940","Note: This Executive order was not received for publication in the Federal Register. 
"
Executive Order    8410 , Exemption of Harry C. Oberholser From Compulsory Retirement for Age,"Signed: May 15, 1940 ","Note: This Executive order was not received for publication in the Federal Register.
"
